participant,item,size,contrast,slider.response,my_rs,total_residuals,unique_item_no,session,trials.thisN,condition_abs,half,literacy,age_textbox.text,gender_slider.response,dot_pitch,res_width,VT_perc_correct,VT_no_correct,difference
54,3,I,I,NA,0.235909091,97.87,10,﻿64be4ccf6a3b58bca6f47378,51,B,First,20,24,M,0.32345312499999995,2560,100,6,NA
54,12,I,I,0.100694444,0.3975,92.82,46,﻿64be4ccf6a3b58bca6f47378,52,B,First,20,24,M,0.32345312499999995,2560,100,6,0.296805556
54,29,I,N,0.192361111,0.702727273,71.6,115,﻿64be4ccf6a3b58bca6f47378,53,X,First,20,24,M,0.32345312499999995,2560,100,6,0.5103661620000001
54,10,N,I,0.116666667,0.361590909,94.23,40,﻿64be4ccf6a3b58bca6f47378,54,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.24492424200000001
54,26,N,I,0.157638889,0.648863636,76.62,104,﻿64be4ccf6a3b58bca6f47378,55,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.49122474699999996
54,44,N,I,0.989583333,0.972045455,23.65,176,﻿64be4ccf6a3b58bca6f47378,56,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.017537878000000062
54,45,I,I,0.963194444,0.99,14.13,178,﻿64be4ccf6a3b58bca6f47378,57,B,First,20,24,M,0.32345312499999995,2560,100,6,0.026805556000000008
54,15,I,N,0.285416667,0.451363636,90.29,59,﻿64be4ccf6a3b58bca6f47378,58,X,First,20,24,M,0.32345312499999995,2560,100,6,0.165946969
54,15,I,I,0.093055556,0.451363636,90.29,58,﻿64be4ccf6a3b58bca6f47378,60,B,First,20,24,M,0.32345312499999995,2560,100,6,0.35830808000000003
54,25,N,I,0.204861111,0.630909091,78.2,100,﻿64be4ccf6a3b58bca6f47378,61,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.42604798
54,3,N,I,0.094444444,0.235909091,97.87,12,﻿64be4ccf6a3b58bca6f47378,62,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.141464647
54,1,I,I,0.132638889,0.2,98.47,2,﻿64be4ccf6a3b58bca6f47378,63,B,First,20,24,M,0.32345312499999995,2560,100,6,0.067361111
54,1,I,N,0.158333333,0.2,98.47,3,﻿64be4ccf6a3b58bca6f47378,64,X,First,20,24,M,0.32345312499999995,2560,100,6,0.04166666700000002
54,44,I,I,0.919444444,0.972045455,23.65,174,﻿64be4ccf6a3b58bca6f47378,65,B,First,20,24,M,0.32345312499999995,2560,100,6,0.05260101099999992
54,26,I,I,0.315277778,0.648863636,76.62,102,﻿64be4ccf6a3b58bca6f47378,66,B,First,20,24,M,0.32345312499999995,2560,100,6,0.33358585799999996
54,29,N,N,0.826388889,0.702727273,71.6,113,﻿64be4ccf6a3b58bca6f47378,67,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.12366161599999992
54,21,N,N,0.397916667,0.559090909,83.77,81,﻿64be4ccf6a3b58bca6f47378,68,A,First,20,24,M,0.32345312499999995,2560,100,6,0.16117424200000002
54,2,I,I,0.172916667,0.217954545,98.2,6,﻿64be4ccf6a3b58bca6f47378,69,B,First,20,24,M,0.32345312499999995,2560,100,6,0.045037878
54,12,I,N,0.197222222,0.3975,92.82,47,﻿64be4ccf6a3b58bca6f47378,70,X,First,20,24,M,0.32345312499999995,2560,100,6,0.20027777800000002
54,20,N,I,0.210416667,0.541136364,85.04,80,﻿64be4ccf6a3b58bca6f47378,71,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.330719697
54,41,N,I,0.84375,0.918181818,39.66,164,﻿64be4ccf6a3b58bca6f47378,72,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.07443181799999998
54,32,N,N,0.903472222,0.756590909,65.73,125,﻿64be4ccf6a3b58bca6f47378,73,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.14688131299999996
54,2,N,N,0.296527778,0.217954545,98.2,5,﻿64be4ccf6a3b58bca6f47378,74,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.07857323300000002
54,24,I,N,0.564583333,0.612954545,79.66,95,﻿64be4ccf6a3b58bca6f47378,75,X,First,20,24,M,0.32345312499999995,2560,100,6,0.04837121200000005
54,6,N,I,0.240277778,0.289772727,96.58,24,﻿64be4ccf6a3b58bca6f47378,76,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.04949494900000001
54,30,I,N,0.61875,0.720681818,69.76,119,﻿64be4ccf6a3b58bca6f47378,77,X,First,20,24,M,0.32345312499999995,2560,100,6,0.10193181799999995
54,22,I,I,0.334027778,0.577045455,82.45,86,﻿64be4ccf6a3b58bca6f47378,78,B,First,20,24,M,0.32345312499999995,2560,100,6,0.24301767700000004
54,13,I,N,NA,0.415454545,91.98,51,﻿64be4ccf6a3b58bca6f47378,79,X,First,20,24,M,0.32345312499999995,2560,100,6,NA
54,30,N,N,NA,0.720681818,69.76,117,﻿64be4ccf6a3b58bca6f47378,80,A,First,20,24,M,0.32345312499999995,2560,100,6,NA
54,42,I,I,0.684027778,0.936136364,35.25,166,﻿64be4ccf6a3b58bca6f47378,81,B,First,20,24,M,0.32345312499999995,2560,100,6,0.25210858599999997
54,34,I,I,0.336111111,0.7925,61.29,134,﻿64be4ccf6a3b58bca6f47378,82,B,First,20,24,M,0.32345312499999995,2560,100,6,0.45638888899999996
54,12,N,N,0.293055556,0.3975,92.82,45,﻿64be4ccf6a3b58bca6f47378,83,A,First,20,24,M,0.32345312499999995,2560,100,6,0.10444444400000003
54,25,I,N,0.26875,0.630909091,78.2,99,﻿64be4ccf6a3b58bca6f47378,84,X,First,20,24,M,0.32345312499999995,2560,100,6,0.36215909100000004
54,17,N,N,0.625,0.487272727,88.33,65,﻿64be4ccf6a3b58bca6f47378,85,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.13772727299999998
54,25,I,I,NA,0.630909091,78.2,98,﻿64be4ccf6a3b58bca6f47378,86,B,First,20,24,M,0.32345312499999995,2560,100,6,NA
54,18,I,N,NA,0.505227273,87.36,71,﻿64be4ccf6a3b58bca6f47378,87,X,First,20,24,M,0.32345312499999995,2560,100,6,NA
54,5,I,N,0.213194444,0.271818182,96.99,19,﻿64be4ccf6a3b58bca6f47378,88,X,First,20,24,M,0.32345312499999995,2560,100,6,0.05862373800000001
54,44,N,N,0.935416667,0.972045455,23.65,173,﻿64be4ccf6a3b58bca6f47378,90,A,First,20,24,M,0.32345312499999995,2560,100,6,0.03662878799999991
54,18,I,I,0.249305556,0.505227273,87.36,70,﻿64be4ccf6a3b58bca6f47378,91,B,First,20,24,M,0.32345312499999995,2560,100,6,0.255921717
54,41,N,N,0.933333333,0.918181818,39.66,161,﻿64be4ccf6a3b58bca6f47378,92,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.015151515000000004
54,6,I,N,NA,0.289772727,96.58,23,﻿64be4ccf6a3b58bca6f47378,93,X,Second,20,24,M,0.32345312499999995,2560,100,6,NA
54,40,I,I,NA,0.900227273,43.56,158,﻿64be4ccf6a3b58bca6f47378,94,B,Second,20,24,M,0.32345312499999995,2560,100,6,NA
54,27,I,N,0.280555556,0.666818182,75.05,107,﻿64be4ccf6a3b58bca6f47378,95,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.386262626
54,22,N,N,0.670833333,0.577045455,82.45,85,﻿64be4ccf6a3b58bca6f47378,96,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.09378787799999999
54,19,I,N,0.343055556,0.523181818,86.21,75,﻿64be4ccf6a3b58bca6f47378,97,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.18012626199999998
54,11,N,N,0.507638889,0.379545455,93.55,41,﻿64be4ccf6a3b58bca6f47378,98,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.128093434
54,7,N,N,NA,0.307727273,96.03,25,﻿64be4ccf6a3b58bca6f47378,99,A,Second,20,24,M,0.32345312499999995,2560,100,6,NA
54,17,N,I,NA,0.487272727,88.33,68,﻿64be4ccf6a3b58bca6f47378,100,Y,Second,20,24,M,0.32345312499999995,2560,100,6,NA
54,7,I,N,0.278472222,0.307727273,96.03,27,﻿64be4ccf6a3b58bca6f47378,101,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.029255051000000032
54,16,I,N,0.286805556,0.469318182,89.4,63,﻿64be4ccf6a3b58bca6f47378,102,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.18251262599999996
54,37,I,I,0.625,0.846363636,53.4,146,﻿64be4ccf6a3b58bca6f47378,103,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.22136363599999997
54,8,N,I,0.242361111,0.325681818,95.52,32,﻿64be4ccf6a3b58bca6f47378,104,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.08332070700000002
54,31,N,I,NA,0.738636364,67.86,124,﻿64be4ccf6a3b58bca6f47378,105,Y,Second,20,24,M,0.32345312499999995,2560,100,6,NA
54,11,N,I,0.191666667,0.379545455,93.55,44,﻿64be4ccf6a3b58bca6f47378,106,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.18787878799999996
54,43,N,N,0.970138889,0.954090909,30.04,169,﻿64be4ccf6a3b58bca6f47378,107,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.01604797999999996
54,14,I,N,0.524305556,0.433409091,91.2,55,﻿64be4ccf6a3b58bca6f47378,108,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.09089646499999993
54,13,I,I,0.35625,0.415454545,91.98,50,﻿64be4ccf6a3b58bca6f47378,109,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.059204545
54,40,N,I,0.840277778,0.900227273,43.56,160,﻿64be4ccf6a3b58bca6f47378,110,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.05994949500000002
54,45,N,N,0.975,0.99,14.13,177,﻿64be4ccf6a3b58bca6f47378,111,A,Second,20,24,M,0.32345312499999995,2560,100,6,0.015000000000000013
54,5,N,N,0.431944444,0.271818182,96.99,17,﻿64be4ccf6a3b58bca6f47378,112,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.16012626199999996
54,33,I,N,0.709027778,0.774545455,63.57,131,﻿64be4ccf6a3b58bca6f47378,114,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.065517677
54,39,I,I,0.836805556,0.882272727,47.19,154,﻿64be4ccf6a3b58bca6f47378,115,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.045467171000000084
54,45,I,N,0.9375,0.99,14.13,179,﻿64be4ccf6a3b58bca6f47378,116,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.05249999999999999
54,33,N,I,0.836111111,0.774545455,63.57,132,﻿64be4ccf6a3b58bca6f47378,117,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.06156565599999997
54,19,N,I,0.791666667,0.523181818,86.21,76,﻿64be4ccf6a3b58bca6f47378,118,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.268484849
54,34,N,I,0.850694444,0.7925,61.29,136,﻿64be4ccf6a3b58bca6f47378,119,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.05819444400000007
54,9,I,I,0.699305556,0.343636364,94.9,34,﻿64be4ccf6a3b58bca6f47378,120,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.35566919199999997
54,9,N,I,0.445833333,0.343636364,94.9,36,﻿64be4ccf6a3b58bca6f47378,121,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.10219696899999997
54,43,I,I,0.825694444,0.954090909,30.04,170,﻿64be4ccf6a3b58bca6f47378,122,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.12839646500000002
54,34,I,N,0.704166667,0.7925,61.29,135,﻿64be4ccf6a3b58bca6f47378,123,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.08833333300000001
54,16,N,I,0.296527778,0.469318182,89.4,64,﻿64be4ccf6a3b58bca6f47378,124,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.17279040399999995
54,23,N,N,0.84375,0.595,81.13,89,﻿64be4ccf6a3b58bca6f47378,125,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.24875000000000003
54,10,I,I,0.695138889,0.361590909,94.23,38,﻿64be4ccf6a3b58bca6f47378,126,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.33354797999999997
54,5,I,I,0.61875,0.271818182,96.99,18,﻿64be4ccf6a3b58bca6f47378,127,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.346931818
54,10,I,N,0.598611111,0.361590909,94.23,39,﻿64be4ccf6a3b58bca6f47378,128,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.23702020199999996
54,4,I,N,0.610416667,0.253863636,97.45,15,﻿64be4ccf6a3b58bca6f47378,129,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.35655303099999996
54,36,N,I,0.893055556,0.828409091,56.22,144,﻿64be4ccf6a3b58bca6f47378,130,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.06464646499999993
54,18,N,N,0.855555556,0.505227273,87.36,69,﻿64be4ccf6a3b58bca6f47378,131,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.35032828299999996
54,39,N,N,0.943055556,0.882272727,47.19,153,﻿64be4ccf6a3b58bca6f47378,132,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.06078282899999998
54,38,N,N,0.892361111,0.864318182,50.47,149,﻿64be4ccf6a3b58bca6f47378,133,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.02804292900000005
54,15,N,N,0.8125,0.451363636,90.29,57,﻿64be4ccf6a3b58bca6f47378,134,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.361136364
54,9,I,N,0.711805556,0.343636364,94.9,35,﻿64be4ccf6a3b58bca6f47378,135,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.3681691919999999
54,20,I,N,0.777777778,0.541136364,85.04,79,﻿64be4ccf6a3b58bca6f47378,136,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.23664141400000005
54,11,I,I,0.713888889,0.379545455,93.55,42,﻿64be4ccf6a3b58bca6f47378,137,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.33434343400000005
54,39,N,I,0.847222222,0.882272727,47.19,156,﻿64be4ccf6a3b58bca6f47378,138,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.035050505000000065
54,38,I,I,0.765972222,0.864318182,50.47,150,﻿64be4ccf6a3b58bca6f47378,139,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.09834595999999995
54,2,N,I,0.252777778,0.217954545,98.2,8,﻿64be4ccf6a3b58bca6f47378,140,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.03482323300000001
54,2,I,N,0.450694444,0.217954545,98.2,7,﻿64be4ccf6a3b58bca6f47378,141,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.23273989900000003
54,27,N,N,0.927083333,0.666818182,75.05,105,﻿64be4ccf6a3b58bca6f47378,142,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.26026515100000003
54,29,I,I,0.753472222,0.702727273,71.6,114,﻿64be4ccf6a3b58bca6f47378,143,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.05074494899999993
54,36,I,I,0.694444444,0.828409091,56.22,142,﻿64be4ccf6a3b58bca6f47378,144,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.133964647
54,26,I,N,0.616666667,0.648863636,76.62,103,﻿64be4ccf6a3b58bca6f47378,145,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.03219696900000002
54,44,I,N,0.970833333,0.972045455,23.65,175,﻿64be4ccf6a3b58bca6f47378,146,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.0012121219999999822
54,36,N,N,0.905555556,0.828409091,56.22,141,﻿64be4ccf6a3b58bca6f47378,147,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.077146465
54,27,I,I,0.63125,0.666818182,75.05,106,﻿64be4ccf6a3b58bca6f47378,148,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.035568182000000004
54,16,I,I,0.669444444,0.469318182,89.4,62,﻿64be4ccf6a3b58bca6f47378,149,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.20012626200000005
54,3,I,N,0.567361111,0.235909091,97.87,11,﻿64be4ccf6a3b58bca6f47378,150,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.33145201999999996
54,43,N,I,0.9625,0.954090909,30.04,172,﻿64be4ccf6a3b58bca6f47378,151,Y,Second,20,24,M,0.32345312499999995,2560,100,6,-0.00840909099999998
54,43,I,N,0.684027778,0.954090909,30.04,171,﻿64be4ccf6a3b58bca6f47378,152,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.270063131
54,35,N,I,0.65625,0.810454545,58.87,140,﻿64be4ccf6a3b58bca6f47378,153,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.15420454500000003
54,24,I,I,0.247222222,0.612954545,79.66,94,﻿64be4ccf6a3b58bca6f47378,154,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.365732323
54,31,I,N,0.307638889,0.738636364,67.86,123,﻿64be4ccf6a3b58bca6f47378,155,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.43099747499999996
54,3,N,N,0.59375,0.235909091,97.87,9,﻿64be4ccf6a3b58bca6f47378,156,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.357840909
54,37,I,N,0.850694444,0.846363636,53.4,147,﻿64be4ccf6a3b58bca6f47378,157,X,Second,20,24,M,0.32345312499999995,2560,100,6,-0.004330808000000075
54,18,N,I,NA,0.505227273,87.36,72,﻿64be4ccf6a3b58bca6f47378,158,Y,Second,20,24,M,0.32345312499999995,2560,100,6,NA
54,4,I,I,0.45,0.253863636,97.45,14,﻿64be4ccf6a3b58bca6f47378,159,B,Second,20,24,M,0.32345312499999995,2560,100,6,-0.196136364
54,36,I,N,0.770833333,0.828409091,56.22,143,﻿64be4ccf6a3b58bca6f47378,160,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.05757575800000003
54,8,I,N,0.254166667,0.325681818,95.52,31,﻿64be4ccf6a3b58bca6f47378,161,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.071515151
54,6,N,N,0.518055556,0.289772727,96.58,21,﻿64be4ccf6a3b58bca6f47378,162,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.22828282899999996
54,32,N,I,0.718055556,0.756590909,65.73,128,﻿64be4ccf6a3b58bca6f47378,163,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.038535352999999994
54,30,N,I,0.651388889,0.720681818,69.76,120,﻿64be4ccf6a3b58bca6f47378,164,Y,Second,20,24,M,0.32345312499999995,2560,100,6,0.06929292899999995
54,35,I,N,0.606944444,0.810454545,58.87,139,﻿64be4ccf6a3b58bca6f47378,165,X,Second,20,24,M,0.32345312499999995,2560,100,6,0.203510101
54,16,N,N,0.840972222,0.469318182,89.4,61,﻿64be4ccf6a3b58bca6f47378,166,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.37165404
54,21,I,I,0.405555556,0.559090909,83.77,82,﻿64be4ccf6a3b58bca6f47378,167,B,Second,20,24,M,0.32345312499999995,2560,100,6,0.15353535300000004
54,1,N,N,0.486805556,0.2,98.47,1,﻿64be4ccf6a3b58bca6f47378,168,A,Second,20,24,M,0.32345312499999995,2560,100,6,-0.28680555599999996
